"","DAL.Open","DAL.High","DAL.Low","DAL.Close","DAL.Volume","DAL.Adjusted"
"292",53.869999,54.959999,53.009998,53.349998,7876800,50.61282
"293",52.779999,53.43,51.810001,53.259998,6860500,50.527435
"294",52.91,54.09,52.580002,53.790001,5964000,51.030243
"295",53.919998,54.110001,53.48,53.84,4690900,51.077679
"296",53.360001,53.66,53.130001,53.529999,4554400,50.783585
"297",53.959999,55.009998,53.860001,54.639999,6740700,51.836628
"298",54.939999,56.09,54.580002,56.09,6975900,53.212238
"299",56.25,56.48,55.57,56.16,6337600,53.278652
"300",56.360001,57.009998,55.459999,56.59,9137400,53.686581
"301",56.619999,57.259998,56.009998,56.150002,7157000,53.269165
"302",56.470001,56.549999,55.810001,56.34,4266300,53.449417
"303",56.459999,57.310001,56.43,56.689999,6546600,53.781456
"304",56.540001,56.73,55.529999,55.959999,6121000,53.088909
"305",56.16,56.720001,55.950001,56.5,4363500,53.601208
"306",55.490002,56.360001,54.75,55.950001,9313900,53.079426
"307",55.5,56,54.630001,54.669998,6631400,51.865086
"308",54.779999,55.209999,53.84,53.900002,7321400,51.134605
"309",54.57,55.279999,54.07,55.060001,5808800,52.235085
"310",55.310001,55.48,53.959999,54.259998,6699600,51.476131
"311",54.470001,54.869999,53.720001,53.93,7473500,51.163059
"312",54.02,55.220001,53.75,54.810001,5960300,51.997917
"313",54.59,54.630001,50.950001,51.950001,10228200,49.284653
"314",52.490002,53.77,52.27,53.720001,6776300,50.96384
"315",52.790001,53.98,52.599998,53.860001,6378300,51.096653
"316",54.310001,54.48,53.700001,54.209999,4417800,51.428696
"317",53.849998,54.299999,52.509998,53.049999,6918700,50.328209
"318",53.360001,53.700001,52.48,52.560001,6179300,49.86335
"319",53.349998,53.380001,51.43,52.360001,12220000,49.673611
"320",52,52.540001,51.360001,51.470001,7799600,48.829277
"321",52.599998,53.639999,51.950001,52.98,12713600,50.261806
"322",53.619999,54.439999,52.5,52.919998,9925900,50.204872
"323",53.27,54.830002,53.27,54.299999,9490400,51.514076
"324",55,55.200001,54.029999,54.549999,7380400,51.751255
"325",55.009998,56.02,54.720001,55.209999,7504900,52.377392
"326",55.040001,55.23,54.560001,55.07,5217500,52.244572
"327",55.23,55.82,55.16,55.400002,7445700,52.557644
"328",55.77,55.799999,54.169998,54.610001,5360400,51.808178
"329",54.77,55.299999,53.110001,53.810001,7655000,51.049221
"330",53.939999,54.959999,53.209999,54.650002,7219800,51.846127
"331",53.900002,54.040001,52.779999,53.130001,12130500,50.404106
"332",53.27,53.700001,53.09,53.5,5699000,50.755123
"333",53.549999,53.779999,52.220001,52.220001,8200000,49.540798
"334",52.27,52.849998,51.849998,52.740002,6799500,50.034119
"335",52.810001,53.169998,52.279999,52.360001,5142800,49.673611
"336",52.02,52.119999,51.09,51.790001,7083100,49.132854
"337",51.580002,52.490002,51.580002,52.34,4535200,49.65464
"338",52.400002,52.400002,51.470001,51.900002,6055800,49.237213
"339",52.060001,53.060001,51.950001,52.369999,6361100,49.683098
"340",52.169998,52.279999,51.459999,51.619999,8403900,48.971573
"341",51.549999,52.32,51.32,52.060001,7590700,49.68256
"342",52,53.080002,51.880001,52.900002,7810800,50.4842
"343",52.900002,53.259998,51.849998,52.09,10466400,49.711182
"344",51.970001,52.720001,51.759998,52.369999,6572800,49.978394
"345",52.41,53.990002,52.41,53.48,6997400,51.037708
"346",53.419998,53.970001,53,53.099998,6069600,50.675064
"347",53.009998,53.23,52.810001,52.950001,5819000,50.531914
"348",53.27,54.349998,53.240002,53.98,5413600,51.51487
"349",54.380001,54.990002,53.419998,53.52,4943600,51.075882
"350",53.209999,53.459999,52.98,53.400002,3692000,50.961365
"351",53.529999,54.57,53.529999,54.400002,5251200,51.915699
"352",54.650002,56.119999,54.619999,55.869999,7597300,53.318562
"353",55.389999,55.599998,53.82,54.23,6544600,51.75346
"354",54.490002,54.709999,53.669998,54.310001,4149700,51.829811
"355",54.419998,54.84,53.939999,54.049999,5365500,51.581673
"356",54.419998,54.73,54.07,54.419998,4317800,51.93478
"357",54.779999,55.43,54.450001,55.189999,4472400,52.669617
"358",54.959999,55,54.290001,54.669998,4968300,52.173367
"359",53.200001,54.310001,52.630001,54.169998,10825300,51.696198
"360",53.91,54.07,52.889999,53.459999,6858000,51.01862
"361",53.060001,54.139999,53.060001,54.09,5858500,51.61985
"362",54.360001,55.84,54.240002,54.889999,6800800,52.38332
"363",54.84,54.84,53.98,54.549999,5253700,52.058838
"364",54.630001,55.07,54.380001,54.650002,4384900,52.154282
"365",54.779999,55.5,54.610001,54.900002,5456100,52.39286
"366",54.650002,55.18,54.119999,55.18,8125300,52.660072
"367",54.73,55.060001,54.299999,54.799999,5836500,52.297432
"368",54.330002,54.439999,53.32,53.779999,5830800,51.324001
"369",54,54.59,53.709999,53.84,4541300,51.381268
"370",53.799999,54.310001,53.400002,53.73,4806800,51.276291
"371",53.5,53.990002,52.419998,52.720001,10311600,50.312412
"372",52.279999,52.599998,50.720001,51.310001,7547800,48.966805
"373",51.529999,51.619999,50.91,51.07,4810300,48.737766
"374",51.029999,51.18,49.700001,49.889999,9035800,47.611656
"375",49.82,50.009998,49.049999,49.799999,6871800,47.525764
"376",49.810001,50.32,49.509998,49.540001,6703900,47.277637
"377",49.25,50.169998,48.91,49.919998,8300000,47.640282
"378",49.25,49.529999,48.619999,48.779999,6449500,46.552345
"379",49.099998,49.279999,48.52,49.259998,6335900,47.010422
"380",49.34,49.779999,49.080002,49.580002,4903000,47.315815
"381",49.580002,50.779999,49.299999,50.509998,7895600,48.203335
"382",50.599998,50.66,49.610001,50.599998,7366600,48.289234
"383",50.139999,50.139999,48.810001,49.84,10426500,47.563938
"384",50.900002,51.279999,49.119999,50.73,12625600,48.413292
"385",50.5,50.990002,50.330002,50.77,6835900,48.451469
"386",50.900002,50.91,50.09,50.669998,8603200,48.35603
"387",50.599998,51.57,50.599998,51.139999,5299000,48.804569
"388",52.439999,53.549999,52.380001,52.799999,10212300,50.388763
"389",52.860001,53.240002,52.43,53,6391400,50.579624
"390",52.66,52.889999,51.970001,51.990002,6697500,49.615757
"391",51.799999,52.380001,51.330002,52.240002,4509200,49.85434
"392",52.380001,52.560001,51.57,51.68,4652700,49.319912
"393",51.259998,51.720001,51.259998,51.66,4727600,49.63699
"394",51.66,54.240002,51.509998,53.98,10322100,51.866131
