"Index" "CAOpen" "CAHigh" "CALow" "CAClose" "CAVolume" "CAAdjusted"
"2012-10-05" 21.727627 21.750973 21.579767 21.626459 3318384 16.750233
"2012-10-08" 21.587549 21.735409 21.587549 21.680935 2495213 16.792423
"2012-10-09" 21.673153 21.813231 21.579767 21.634241 4342144 16.756268
"2012-10-10" 21.680935 21.782101 21.595331 21.696499 5472430 16.804483
"2012-10-11" 21.789883 21.914396 21.603113 21.673153 3553796 16.786406
"2012-10-12" 21.766537 21.844358 21.634241 21.743191 3710695 16.840651
"2012-10-15" 21.673153 22.10895 21.665371 22.10895 5921409 17.123938
"2012-10-16" 22.101168 22.210117 22.007782 22.101168 4023977 17.117912
"2012-10-17" 22.171206 22.280155 22.101168 22.194553 3177805 17.190237
"2012-10-18" 22.163424 22.404669 22.163424 22.381323 4009842 17.334898
"2012-10-19" 22.249027 22.412451 21.968872 21.992218 4196296 17.033525
"2012-10-22" 22.038912 22.093386 21.805447 22.007782 3465260 17.04558
"2012-10-23" 21.836576 21.945524 21.704281 21.883268 3460762 16.949144
"2012-10-24" 21.875486 22.015564 21.688717 21.704281 5081147 16.810507
"2012-10-25" 21.821012 22.038912 21.735409 22.038912 3562406 17.069693
"2012-10-26" 22.023346 22.054476 21.85214 21.953306 4790223 17.003391
"2012-10-31" 21.914396 21.92996 21.649805 21.665371 4970766 16.930414
"2012-11-01" 21.719845 21.922178 21.634241 21.867704 5026278 17.08853
"2012-11-02" 21.906614 22.054476 21.821012 21.844358 8206395 17.070282
"2012-11-05" 21.782101 21.867704 21.603113 21.85214 3501240 17.076365
"2012-11-06" 21.89105 22.202335 21.89105 22.077822 2905642 17.252726
"2012-11-07" 21.968872 22.015564 21.642023 21.758755 3609437 17.003389
"2012-11-08" 21.743191 21.859922 21.540855 21.548637 2441243 16.839193
"2012-11-09" 21.525291 21.844358 21.525291 21.610895 3624343 16.887852
"2012-11-12" 21.603113 21.743191 21.486382 21.665371 2710194 16.930414
"2012-11-13" 21.587549 21.743191 21.579767 21.649805 4332892 16.918255
"2012-11-14" 21.649805 21.727627 21.494164 21.540855 4112385 16.833115
"2012-11-15" 21.455254 21.649805 21.416342 21.556419 4617648 16.845274
"2012-11-16" 21.579767 21.673153 21.385214 21.587549 5861913 16.869602
"2012-11-19" 21.704281 21.766537 21.571983 21.680935 6603101 16.942572
"2012-11-20" 21.704281 21.805447 21.610895 21.758755 3487233 17.003389
"2012-11-21" 21.789883 21.89105 21.704281 21.89105 2945863 17.106775
"2012-11-23" 21.922178 22.10895 21.89105 22.10895 1027743 17.277048
"2012-11-26" 21.92996 22.015564 21.875486 22.015564 2489945 17.204079
"2012-11-27" 22.972763 23.136187 22.5214 23.058367 17894396 18.018978
"2012-11-28" 23.058367 23.198444 22.770428 23.073931 6979863 18.031134
"2012-11-29" 23.136187 23.167315 22.879377 23.035019 5958160 18.000731
"2012-11-30" 23.22179 23.322956 23.198444 23.237354 5965484 18.15884
"2012-12-03" 23.276264 23.291828 23.167315 23.206226 4016653 18.134516
"2012-12-04" 23.22179 23.252918 22.996109 22.996109 4899962 17.970322
"2012-12-05" 23.035019 23.167315 23.003891 23.105059 4119967 18.05546
"2012-12-06" 23.081713 23.136187 22.879377 23.073931 4755271 18.031134
"2012-12-07" 23.105059 23.151751 22.980545 23.151751 2908084 18.091948
"2012-12-10" 23.089495 23.19066 23.058367 23.143969 2196451 18.085863
"2012-12-11" 23.159533 23.2607 23.073931 23.120623 3075262 18.067625
"2012-12-12" 23.237354 23.774319 23.237354 23.564201 11670242 18.414257
"2012-12-13" 23.618677 23.642023 23.40856 23.4786 6138188 18.347363
"2012-12-14" 23.424126 23.610895 23.40856 23.463036 3054831 18.335209
"2012-12-17" 23.463036 23.603113 23.43969 23.595331 4915639 18.438581
"2012-12-18" 23.579767 23.587549 23.431908 23.509727 9152284 18.371693
"2012-12-19" 23.540855 23.603113 23.315174 23.315174 5424242 18.219654
"2012-12-20" 24.007782 24.217899 23.361868 23.470818 7229153 18.341282
"2012-12-21" 23.354086 23.431908 23.151751 23.19066 7690082 18.122349
"2012-12-24" 23.252918 23.291828 23.081713 23.175097 1783580 18.110193
"2012-12-26" 23.206226 23.229572 22.910505 22.926069 2618959 17.91559
"2012-12-27" 22.879377 22.980545 22.723736 22.871595 2960383 17.873018
"2012-12-28" 22.871595 22.980545 22.723736 22.723736 3077447 17.757471
"2012-12-31" 22.645914 23.003891 22.396887 22.957197 4457537 17.939911
"2013-01-02" 23.322956 23.416342 23.151751 23.416342 4325310 18.298712
"2013-01-03" 23.346304 23.4786 23.33852 23.361868 3591318 18.256144
"2013-01-04" 23.361868 23.642023 23.346304 23.533073 3672787 18.389938
"2013-01-07" 23.540855 23.556419 23.385214 23.4786 2317755 18.347363
"2013-01-08" 23.33852 23.494164 23.206226 23.463036 10128113 18.335209
"2013-01-09" 23.501945 23.665371 23.463036 23.657587 6149239 18.487236
"2013-01-10" 23.673153 23.85214 23.642023 23.828794 6119813 18.621023
"2013-01-11" 24.023346 24.023346 23.735409 23.968872 6208992 18.730482
"2013-01-14" 23.992218 24.217899 23.883268 24.14786 6517006 18.870363
"2013-01-15" 23.984436 24.194553 23.968872 24.178988 5847907 18.894684
"2013-01-16" 24.132296 24.303501 24.031128 24.256809 5228408 18.955488
"2013-01-17" 24.319065 24.622568 24.272373 24.5214 4895979 19.162264
"2013-01-18" 24.568092 24.669262 24.404669 24.669262 4812197 19.277809
"2013-01-22" 24.70039 24.871595 24.638132 24.856031 4543246 19.423758
"2013-01-23" 24.856031 24.871595 24.70039 24.770428 4082573 19.356859
"2013-01-24" 24.80934 25.268482 24.80934 25.214008 6289047 19.703505
"2013-01-25" 25.066149 25.229572 25.019455 25.159533 5259505 19.660931
"2013-01-28" 25.291828 25.463036 25.167315 25.392996 6070726 19.843369
"2013-01-29" 25.22179 25.237354 25.089495 25.136187 5594633 19.794342
"2013-01-30" 24.941633 25.680935 24.910505 25.463036 6499787 20.051731
"2013-01-31" 25.182878 25.618677 25.182878 25.43969 6169285 20.033348
"2013-02-01" 25.610895 25.743191 25.509727 25.735409 5152722 20.266226
"2013-02-04" 25.610895 25.712063 25.517509 25.533073 4257334 20.106886
"2013-02-05" 25.626459 25.782101 25.587549 25.673153 4240629 20.217197
