"Index" "EOOpen" "EOHigh" "EOLow" "EOClose" "EOVolume" "EOAdjusted"
"2013-06-28" 65.214996 66.495003 65.010002 65.839996 3424400 58.769547
"2013-07-01" 66.894997 68.214996 66.620003 67.654999 3230400 60.389648
"2013-07-02" 67.620003 69.635002 67.620003 68.940002 4339200 61.536659
"2013-07-03" 69 69.25 68.404999 69.089996 1707400 61.670532
"2013-07-05" 69.529999 70.32 69.315002 70.199997 2281000 62.661354
"2013-07-08" 70.75 71.264999 69.504997 69.879997 3429400 62.37569
"2013-07-09" 70.474998 71.235001 70.195 71.110001 3547400 63.473625
"2013-07-10" 71.345001 71.839996 70.815002 71.135002 3534000 63.495941
"2013-07-11" 72 73.394997 71.445 71.775002 5601400 64.067207
"2013-07-12" 71.550003 72.385002 70.955002 72.355003 3772200 64.58493
"2013-07-15" 72.315002 72.809998 71.294998 71.769997 3459200 64.14608
"2013-07-16" 71.889999 72.769997 71.875 72.279999 3735400 64.601906
"2013-07-17" 72.525002 73.209999 72.324997 72.915001 2746000 65.169426
"2013-07-18" 73.209999 74.135002 73.110001 73.5 3070600 65.692307
"2013-07-19" 73.904999 74.349998 73.254997 74.334999 2742200 66.438599
"2013-07-22" 74.315002 75.025002 73.769997 74.745003 3240800 66.805061
"2013-07-23" 74.809998 74.989998 74.004997 74.32 3264600 66.425201
"2013-07-24" 74.544998 74.57 71.580002 72.035004 6075800 64.382927
"2013-07-25" 72.035004 73.699997 72 73.684998 3925000 65.857651
"2013-07-26" 73.120003 73.360001 72.120003 72.870003 2974400 65.129234
