"Index" "BLOpen" "BLHigh" "BLLow" "BLClose" "BLVolume" "BLAdjusted"
"2012-10-11" 187.800003 188.610001 185.5 185.789993 632100 148.254929
"2012-10-12" 185.679993 187.75 183.259995 184.309998 688300 147.073929
"2012-10-15" 186.520004 188 184.350006 185.369995 1377600 147.919769
"2012-10-16" 187.240005 190.869995 186.839996 189.970001 1569100 151.590424
"2012-10-17" 191.490005 192 188.690002 189.130005 1348700 150.920166
"2012-10-18" 188.809998 192.080002 188.399994 190 1147800 151.614365
"2012-10-19" 189.410004 190.199997 188.389999 188.940002 807700 150.768494
"2012-10-22" 188.490005 189.410004 186.669998 189.270004 497400 151.031845
"2012-10-23" 187.009995 189.289993 185.710007 187.869995 738100 149.914688
"2012-10-24" 188.300003 190.279999 186.330002 186.990005 748900 149.212448
"2012-10-25" 188.449997 189.080002 186.179993 187.119995 648400 149.316223
"2012-10-26" 187.300003 188.399994 186.440002 186.990005 686000 149.212448
"2012-10-31" 189.089996 190.990005 188.339996 189.679993 909300 151.358963
"2012-11-01" 189.520004 190.460007 188.839996 190.070007 811100 151.670212
"2012-11-02" 190.860001 192.309998 189.320007 189.520004 686400 151.231354
"2012-11-05" 188.820007 190.25 187.360001 189.5 530000 151.215393
"2012-11-06" 191.089996 191.860001 189.509995 191.419998 963200 152.747498
"2012-11-07" 188.979996 190.600006 188.5 190 1383400 151.614365
"2012-11-08" 190.309998 191.589996 187.100006 187.100006 570100 149.300247
"2012-11-09" 186.699997 189.020004 186.470001 186.830002 446200 149.084869
"2012-11-12" 187.25 189.5 186.309998 188.529999 622300 150.441376
"2012-11-13" 187.270004 190.089996 187.240005 188.339996 739800 150.289734
"2012-11-14" 188.759995 189.190002 186.25 186.600006 694900 148.901276
"2012-11-15" 186.5 187.550003 185.199997 186.960007 1046400 149.188522
"2012-11-16" 188.130005 190.160004 185.410004 186.990005 941900 149.212448
"2012-11-19" 189.460007 191.210007 189.149994 191.160004 928000 152.540054
"2012-11-20" 190.809998 193.800003 190.300003 193.800003 730200 154.646713
"2012-11-21" 194.729996 194.990005 192.070007 193.75 550100 154.606796
"2012-11-23" 194.710007 195.600006 194.080002 195.539993 167200 156.035141
"2012-11-26" 194.479996 195.210007 193.279999 194.089996 397500 154.878067
"2012-11-27" 196.350006 196.350006 192.809998 194.820007 704100 155.460587
"2012-11-28" 194.509995 198.880005 194 197.429993 906900 157.543304
"2012-11-29" 196.740005 197.539993 194.210007 195.619995 570800 157.293991
"2012-11-30" 195.449997 197.229996 194.520004 197.039993 742700 158.435822
"2012-12-03" 198.130005 199.350006 195.089996 195.330002 530500 157.060822
"2012-12-04" 195.020004 195.75 191.190002 191.259995 928100 153.788254
"2012-12-05" 191.199997 193.550003 190.240005 192.440002 752500 154.73703
"2012-12-06" 192.399994 193.850006 191.690002 193.75 468600 155.790421
"2012-12-07" 194.419998 194.850006 193.309998 194.759995 272500 156.602509
"2012-12-10" 194.779999 195.820007 194 195.720001 388900 157.374451
"2012-12-11" 195.770004 199.649994 195.770004 199.449997 704600 160.373642
"2012-12-12" 200.339996 201.729996 199.039993 200.669998 1020700 161.354599
"2012-12-13" 200.639999 201.330002 200.139999 200.720001 545800 161.394882
"2012-12-14" 198.869995 202.089996 198.869995 201.529999 606300 162.046127
"2012-12-17" 202.309998 205.350006 200.889999 205.289993 1126600 165.069473
"2012-12-18" 205.729996 208.619995 203.809998 206.669998 988900 166.179138
"2012-12-19" 205.479996 208.850006 205.479996 205.809998 959200 165.487579
"2012-12-20" 207.289993 209.429993 206.110001 209.289993 612600 168.285782
"2012-12-21" 206.020004 209.910004 205.369995 206.75 1182800 166.243454
"2012-12-24" 209.800003 209.800003 202.699997 207.220001 307000 166.621353
"2012-12-26" 207.529999 207.580002 204.970001 205.339996 443500 165.10968
"2012-12-27" 205.850006 206.830002 204.039993 206.070007 373000 165.696594
"2012-12-28" 204.910004 206.270004 203.880005 204.509995 320500 164.442291
"2012-12-31" 204.160004 206.880005 203.910004 206.710007 427900 166.211258
"2013-01-02" 210.619995 212.869995 208.770004 212.770004 951600 171.084015
"2013-01-03" 213.309998 215.990005 212.169998 213.350006 596200 171.550354
"2013-01-04" 213.029999 218.860001 213.020004 218.029999 805200 175.313431
"2013-01-07" 217.679993 218.289993 215.25 217.630005 722300 174.991821
"2013-01-08" 217.020004 217.440002 214.050003 214.259995 630400 172.282043
"2013-01-09" 215.190002 217.119995 214.229996 214.820007 685100 172.732407
"2013-01-10" 216.020004 220 215.820007 218.75 829400 175.89238
"2013-01-11" 218.429993 221.259995 217.330002 221.009995 823800 177.709595
"2013-01-14" 221.229996 224.470001 220.059998 222.190002 869400 178.658432
"2013-01-15" 223.369995 223.410004 220.589996 223.25 637900 179.510742
"2013-01-16" 222.429993 224 221.389999 222.240005 758200 178.698608
"2013-01-17" 228.75 234.460007 227 232 1721800 186.546402
"2013-01-18" 232.800003 234 231.259995 233.929993 1425400 188.098358
"2013-01-22" 234.119995 237.009995 234.050003 236.960007 1137000 190.534668
"2013-01-23" 237.300003 238.619995 235.139999 235.990005 888500 189.7547
"2013-01-24" 237.320007 238.410004 234.589996 236.330002 1002900 190.028122
"2013-01-25" 237.529999 237.75 235.850006 236.419998 1080700 190.100464
"2013-01-28" 235.589996 236.320007 233.160004 234.860001 914300 188.84613
"2013-01-29" 235.149994 238.009995 234.110001 238.009995 879200 191.378937
"2013-01-30" 237.75 238.399994 236.089996 237.399994 743800 190.888474
"2013-01-31" 236.729996 238.550003 235.470001 236.279999 696900 189.9879
"2013-02-01" 234.639999 237.789993 234 236.889999 1021800 190.478378
"2013-02-04" 232.169998 236.25 231.660004 234.479996 966900 188.540543
"2013-02-05" 235.389999 239.490005 235 238.860001 828300 192.062424
"2013-02-06" 237.550003 238.949997 237.25 238.800003 571700 192.01416
"2013-02-07" 238.5 238.800003 234.570007 236.820007 503400 190.422089
"2013-02-08" 236.639999 238.690002 235.75 238.160004 552300 191.499557
"2013-02-11" 238.179993 239.919998 237.309998 239.449997 931900 192.536819
"2013-02-12" 239 241.020004 238.729996 238.860001 1094900 192.062424
"2013-02-13" 240.199997 243.029999 239.75 242.520004 986000 195.005356
"2013-02-14" 242.369995 245.649994 242.360001 245.570007 895500 197.457809
"2013-02-15" 246.75 247 242.369995 242.949997 1001000 195.351105
"2013-02-19" 243.419998 245.360001 242.660004 244.119995 1005600 196.291855
"2013-02-20" 243.539993 243.979996 239 239.119995 741200 192.271469
"2013-02-21" 238.160004 238.5 235.300003 236.220001 955000 189.939621
"2013-02-22" 238 240.880005 238 240.869995 836700 193.678558
"2013-02-25" 242.699997 243.660004 236.5 236.5 793600 190.16478
"2013-02-26" 238.089996 239.210007 234.339996 236.149994 876800 189.883377
"2013-02-27" 236.029999 241.630005 235.050003 241.070007 520400 193.839432
"2013-02-28" 240.940002 242.110001 239.559998 239.75 565500 192.778061
"2013-03-01" 238.169998 238.169998 233.800003 236.830002 836200 190.430115
"2013-03-04" 236.229996 241.380005 236 241.270004 688600 194.000259
"2013-03-05" 242.240005 244.610001 238.289993 244.389999 1033400 197.886902
"2013-03-06" 245.770004 250 245.770004 249.570007 1117800 202.081253
"2013-03-07" 250.449997 251.699997 248.279999 248.470001 769500 201.190582
"2013-03-08" 250.100006 251.020004 247.440002 248.270004 582000 201.02861
"2013-03-11" 248.270004 248.440002 246.279999 247.869995 565300 200.704727
"2013-03-12" 248.080002 250.289993 247.710007 249.440002 1014500 201.975983
"2013-03-13" 250.339996 254 249.5 253.699997 776800 205.425323
"2013-03-14" 254.889999 257.769989 254.110001 256.040009 967100 207.320099
"2013-03-15" 255.070007 256.799988 254.259995 256.73999 981400 207.886887
"2013-03-18" 254.110001 256.529999 253.429993 255.25 449300 206.68042
"2013-03-19" 255.080002 256.359985 250.690002 253.179993 565300 205.004288
"2013-03-20" 255.25 259.570007 255.25 258.700012 755000 209.473923
"2013-03-21" 256.279999 259.190002 252.809998 253 1039600 204.858566
"2013-03-22" 253.520004 254.520004 252.119995 253.130005 692800 204.963821
"2013-03-25" 255 257.329987 251.440002 251.820007 853300 203.903076
"2013-03-26" 252.800003 258.679993 252.039993 258.410004 635900 209.239151
"2013-03-27" 257.200012 257.600006 254.880005 256.570007 349900 207.749283
"2013-03-28" 257.359985 258.649994 255.259995 256.880005 547100 208.000259
"2013-04-01" 256.5 256.850006 252.470001 252.960007 389600 204.826218
"2013-04-02" 253.410004 257.880005 253.210007 257.440002 644200 208.45372
"2013-04-03" 257.829987 258 247.339996 248.229996 882500 200.996201
"2013-04-04" 248.220001 251.149994 247.600006 251.110001 806900 203.328156
"2013-04-05" 247.229996 248 241.039993 245.789993 1332600 199.020508
"2013-04-08" 245.470001 249.410004 244.100006 249.380005 470200 201.927368
"2013-04-09" 251.910004 255.559998 249.720001 254.039993 760100 205.700607
"2013-04-10" 255.429993 260.779999 254.960007 260.769989 657300 211.15007
"2013-04-11" 261.350006 265.570007 261.350006 264.140015 735800 213.878799
"2013-04-12" 262.950012 264.980011 262.100006 263.130005 421900 213.06102
"2013-04-15" 260 262.459991 253.779999 253.860001 939700 205.554901
"2013-04-16" 257.769989 257.899994 251.479996 257.220001 1039800 208.275543
"2013-04-17" 254.550003 255.429993 249.020004 251.029999 864600 203.263428
"2013-04-18" 251.009995 251.179993 243.580002 245.300003 1012500 198.623749
"2013-04-19" 246.460007 250.460007 246.119995 250.160004 737100 202.558945
"2013-04-22" 251.240005 251.580002 247.380005 250.509995 605600 202.842377
"2013-04-23" 252.5 259.970001 251.940002 259.480011 985700 210.10556
"2013-04-24" 259.940002 260.730011 257.670013 258.670013 574200 209.449646
"2013-04-25" 259.869995 264.329987 259.26001 263.570007 755900 213.417282
"2013-04-26" 262.609985 264.619995 262.200012 263.769989 481200 213.579224
"2013-04-29" 264.160004 268.73999 263.320007 268.209991 608200 217.174332
"2013-04-30" 268.459991 269.809998 265.779999 266.5 950400 215.789764
"2013-05-01" 265.380005 266.5 260.690002 260.940002 793100 211.287674
"2013-05-02" 261.690002 263.410004 260.980011 262.350006 670800 212.429443
"2013-05-03" 265.679993 271.600006 265.140015 271.339996 835400 219.708755
"2013-05-06" 271.549988 275.209991 270.23999 274.350006 659400 222.145966
"2013-05-07" 274.540009 275.820007 272.410004 275.549988 431800 223.117661
"2013-05-08" 275.350006 277.369995 268.029999 277.25 495600 224.494141
"2013-05-09" 274.730011 278.820007 272.429993 275.799988 891700 223.320145
"2013-05-10" 276.23999 277.459991 275.209991 276.670013 555900 224.024567
"2013-05-13" 275.76001 281 275.420013 279.390015 465800 226.227005
"2013-05-14" 280 284.980011 280 284.450012 573200 230.324173
"2013-05-15" 283.980011 289.410004 283 289.290009 695400 234.243225
"2013-05-16" 288.440002 290.829987 284.76001 285.410004 607700 231.101471
"2013-05-17" 287.100006 291.209991 286.700012 290.950012 567100 235.587341
"2013-05-20" 289.100006 291.829987 287.059998 289.25 552000 234.210815
"2013-05-21" 290.600006 293.309998 288.940002 291.690002 737200 236.186462
"2013-05-22" 291.660004 298.140015 282.910004 285.329987 1172100 231.036743
