"Index" "DGOpen" "DGHigh" "DGLow" "DGClose" "DGVolume" "DGAdjusted"
"2012-12-13" 58.84 59.07 58.549999 58.73 671800 48.829384
"2012-12-14" 58.709999 59.759998 58.5 59.169998 1162800 49.195206
"2012-12-17" 59.349998 59.700001 59.07 59.459999 868400 49.436329
"2012-12-18" 59.68 60.830002 59.490002 60.560001 938700 50.350887
"2012-12-19" 60.529999 60.68 60.009998 60.18 747900 50.03495
"2012-12-20" 60.330002 60.330002 59.810001 60.049999 773600 49.926861
"2012-12-21" 59.68 59.779999 59.400002 59.419998 1340200 49.403065
"2012-12-24" 59.400002 59.400002 58.84 59 301800 49.053867
"2012-12-26" 59.07 59.150002 58.330002 58.599998 545100 48.721306
"2012-12-27" 58.549999 59 58.439999 58.830002 621500 48.912533
"2012-12-28" 58.639999 58.68 57.709999 57.720001 543900 47.989647
"2012-12-31" 57.68 58.27 57.220001 58.27 579100 48.446926
"2013-01-02" 58.669998 59.200001 58.169998 58.66 1225000 48.771187
"2013-01-03" 58.610001 59.150002 58.09 58.369999 1191800 48.530079
"2013-01-04" 58.540001 58.669998 57.950001 58 1556400 48.222446
"2013-01-07" 58.040001 58.040001 57.43 57.790001 1478700 48.047848
"2013-01-08" 57.830002 57.889999 57.110001 57.68 2135700 47.95639
"2013-01-09" 57.59 58.869999 57.59 58.759998 1963800 49.109741
"2013-01-10" 58.900002 59.709999 58.75 59.580002 1186400 49.795086
"2013-01-11" 59.470001 59.700001 59.02 59.41 852300 49.653008
"2013-01-14" 59.459999 59.810001 59.189999 59.66 1126800 49.861938
"2013-01-15" 59.549999 59.900002 59.099998 59.860001 712700 50.029099
"2013-01-16" 59.650002 59.98 59.360001 59.93 742800 50.087601
"2013-01-17" 60 60.57 59.950001 60.549999 752100 50.60577
"2013-01-18" 60.630001 61.400002 60.43 61.400002 2993000 51.316185
"2013-01-22" 61.240002 61.950001 61.029999 61.830002 2102900 51.675556
"2013-01-23" 57.959999 58.939999 57.360001 58.41 3968100 48.817245
"2013-01-24" 58.360001 59.349998 58.32 58.450001 1668200 48.850658
"2013-01-25" 58.450001 58.57 57.700001 57.939999 1216500 48.424427
"2013-01-28" 58.119999 58.380001 57.700001 58.240002 1291000 48.675163
"2013-01-29" 57.709999 58.259998 57.029999 58.25 1973700 48.68351
"2013-01-30" 58.25 58.57 57.98 58.349998 1565300 48.767105
"2013-01-31" 58.400002 58.450001 57.84 57.950001 2358100 48.432774
"2013-02-01" 58.400002 58.470001 57.57 58.110001 1599100 48.566505
"2013-02-04" 57.970001 58.43 57.610001 57.700001 887500 48.223846
"2013-02-05" 57.860001 58.18 57.560001 57.869999 663400 48.365917
"2013-02-06" 57.529999 58.16 57.529999 58.139999 710500 48.591576
"2013-02-07" 58.25 58.869999 58.200001 58.689999 1192400 49.051247
"2013-02-08" 58.639999 58.75 58.150002 58.5 977200 48.892452
"2013-02-11" 58.59 58.73 57.919998 57.93 827500 48.416065
"2013-02-12" 57.860001 57.91 56.73 56.880001 1641500 47.538521
"2013-02-13" 56.889999 57.299999 56.68 56.970001 1037200 47.613728
"2013-02-14" 56.779999 56.950001 56.470001 56.529999 1743400 47.245987
"2013-02-15" 56.639999 57.41 56.529999 57.32 1157000 47.906239
"2013-02-19" 57.25 57.849998 57.130001 57.540001 960800 48.090115
"2013-02-20" 57.490002 57.610001 56.830002 56.84 1151800 47.505081
"2013-02-21" 56.759998 56.84 56 56.130001 991500 46.911674
"2013-02-22" 56.380001 56.52 55.689999 55.75 1222200 46.59409
"2013-02-25" 56.16 56.599998 55.639999 55.639999 1956800 46.502151
"2013-02-26" 55.919998 56.029999 55.16 55.799999 993100 46.635883
"2013-02-27" 55.709999 56.34 55.709999 56.169998 898000 46.945122
"2013-02-28" 56.25 56.66 56.16 56.169998 968400 46.945122
"2013-03-01" 55.990002 56.290001 55.5 56.130001 915000 46.911674
"2013-03-04" 55.990002 56.200001 55.740002 55.990002 1934100 46.794678
"2013-03-05" 56.150002 56.720001 55.970001 56.41 1051500 47.145699
"2013-03-06" 56.400002 56.959999 56.310001 56.34 917300 47.087189
"2013-03-07" 56.259998 56.459999 55.330002 55.419998 1363500 46.318279
"2013-03-08" 55.529999 56.029999 55.400002 55.939999 1216500 46.752884
"2013-03-11" 55.919998 56.52 55.779999 56.25 1168600 47.011963
"2013-03-12" 56.279999 56.84 55.959999 56.200001 1826600 46.970188
"2013-03-13" 56.27 56.360001 55.82 55.990002 903900 46.794678
"2013-03-14" 56.130001 56.73 55.849998 56.5 1381300 47.220917
"2013-03-15" 56.34 56.619999 56.060001 56.220001 1024900 46.986904
"2013-03-18" 55.900002 56.02 55.48 55.52 965800 46.401863
"2013-03-19" 55.709999 56.619999 55.689999 56.25 1677100 47.011963
"2013-03-20" 56.5 56.849998 56.25 56.509998 2509500 47.229275
"2013-03-21" 56.310001 56.630001 56 56.299999 746000 47.053764
"2013-03-22" 56.330002 56.599998 56.25 56.560001 751400 47.271065
"2013-03-25" 56.709999 57.029999 56.18 56.400002 889900 47.137344
"2013-03-26" 56.650002 57.5 56.52 57.25 959800 47.847748
"2013-03-27" 56.799999 56.84 56.349998 56.400002 1143200 47.137344
"2013-03-28" 56.18 56.650002 55.799999 56.459999 1933800 47.439819
"2013-04-01" 56.419998 56.490002 56.009998 56.32 695700 47.322193
"2013-04-02" 56.68 57.580002 56.639999 56.799999 1223300 47.725502
"2013-04-03" 57 57.509998 56.720001 56.830002 1314100 47.750717
"2013-04-04" 57 57.919998 56.91 57.68 914300 48.464916
"2013-04-05" 57.330002 57.330002 56.619999 57.009998 1159400 47.901951
"2013-04-08" 56.889999 57.029999 56.52 57.029999 585200 47.918751
"2013-04-09" 56.98 57.029999 56.5 56.650002 899900 47.599468
"2013-04-10" 56.639999 57.360001 56.41 57.299999 954400 48.14563
"2013-04-11" 58.369999 60 58.060001 59.830002 3202800 50.271435
"2013-04-12" 59.650002 59.66 58.830002 59.34 1518400 49.859711
"2013-04-15" 59.060001 59.549999 58.369999 58.369999 1692200 49.044678
"2013-04-16" 58.490002 59.23 57.34 58.349998 2329100 49.027885
"2013-04-17" 58.040001 59.240002 56.950001 57.369999 4059000 48.204441
"2013-04-18" 57.310001 57.540001 55.59 55.759998 2459400 46.851665
"2013-04-19" 55.950001 56.709999 55.560001 55.919998 1674100 46.986099
"2013-04-22" 55.849998 56.18 55.259998 55.48 1843700 46.616394
"2013-04-23" 56.18 57.240002 56.18 56.509998 2839500 47.481834
"2013-04-24" 56.330002 56.5 55.509998 56.09 2388500 47.128944
"2013-04-25" 56.279999 56.52 55.650002 55.849998 1012500 46.92728
"2013-04-26" 55.860001 56.540001 55.700001 56.16 1222100 47.187752
"2013-04-29" 56.189999 56.5 56.16 56.189999 606200 47.212952
