"Index" "SJOpen" "SJHigh" "SJLow" "SJClose" "SJVolume" "SJAdjusted"
"2013-03-06" 97.360001 97.529999 96.589996 96.720001 683200 76.867416
"2013-03-07" 96.790001 97.260002 96.43 97.089996 603800 77.161484
"2013-03-08" 97.379997 97.75 96.879997 97.239998 329200 77.280663
"2013-03-11" 97.120003 97.669998 96.959999 97.389999 681900 77.399918
"2013-03-12" 97.400002 97.720001 97.25 97.470001 462100 77.463478
"2013-03-13" 97.5 97.669998 97.25 97.580002 482400 77.550888
"2013-03-14" 97.699997 97.839996 97.449997 97.839996 345700 77.7575
"2013-03-15" 97.419998 97.940002 97.260002 97.400002 813700 77.40786
"2013-03-18" 96.379997 96.980003 96.050003 96.379997 722500 76.597198
"2013-03-19" 96.339996 96.5 95.029999 96.400002 1114200 76.613091
"2013-03-20" 96.82 97.139999 96.029999 96.760002 761900 76.899193
"2013-03-21" 96.529999 96.610001 95.989998 96 409600 76.295181
"2013-03-22" 96.129997 96.550003 96.089996 96.440002 496300 76.644867
"2013-03-25" 96.889999 97.330002 96.160004 96.379997 387600 76.597198
"2013-03-26" 96.400002 97.779999 96.330002 97.410004 436000 77.415787
"2013-03-27" 97.010002 97.360001 96.150002 97.309998 402800 77.336296
"2013-03-28" 97.300003 99.290001 97.220001 99.160004 651300 78.80658
"2013-04-01" 99.32 99.349998 98.269997 98.949997 446500 78.639664
"2013-04-02" 99.129997 100.139999 98.68 99.169998 394200 78.814507
"2013-04-03" 99.029999 99.110001 97.639999 97.849998 471400 77.765472
"2013-04-04" 97.889999 98.989998 97.809998 98.980003 412600 78.663498
"2013-04-05" 98.440002 98.440002 97.68 98.120003 487600 77.980034
"2013-04-08" 97.949997 98.330002 97.580002 98.300003 507600 78.123116
"2013-04-09" 98.419998 98.669998 97.82 98.199997 409700 78.043633
"2013-04-10" 98.279999 99.019997 98.010002 99 581500 78.67942
"2013-04-11" 99.260002 100 99.07 99.800003 490500 79.315231
"2013-04-12" 99.660004 101.110001 99.290001 101.099998 502500 80.348381
"2013-04-15" 101.040001 101.580002 99.510002 99.519997 434900 79.092682
"2013-04-16" 100.120003 102.300003 99.919998 102.25 520500 81.262337
"2013-04-17" 101.68 102.410004 100.949997 101.760002 763600 80.872917
"2013-04-18" 101.940002 102.279999 101.330002 101.529999 421100 80.690109
"2013-04-19" 101.650002 103.910004 101.519997 103.099998 461300 81.937851
"2013-04-22" 103.239998 103.309998 102.059998 103.059998 341600 81.906075
"2013-04-23" 103.540001 105.029999 103.089996 105 557300 83.447876
"2013-04-24" 104.980003 105.18 102.459999 102.510002 468100 81.468979
"2013-04-25" 103 103.120003 102.040001 102.230003 501900 81.246437
"2013-04-26" 102.129997 102.709999 101.650002 101.919998 228600 81.000069
"2013-04-29" 102.279999 102.43 101.449997 102.239998 310500 81.254379
"2013-04-30" 102.160004 103.650002 101.919998 103.230003 519000 82.041176
