"Index" "TGNOpen" "TGNHigh" "TGNLow" "TGNClose" "TGNVolume" "TGNAdjusted"
"2012-10-22" 9.379828 9.620471 9.353672 9.484456 4600333 7.629666
"2012-10-23" 9.34844 9.379828 9.128723 9.332746 5203809 7.507627
"2012-10-24" 9.364134 9.364134 9.207194 9.290895 5102497 7.473961
"2012-10-25" 9.34844 9.353672 8.767759 8.80961 10319879 7.086795
"2012-10-26" 8.80961 8.888081 8.684058 8.762528 5859662 7.04892
"2012-10-31" 8.872387 8.935163 8.736371 8.840998 5141302 7.112047
"2012-11-01" 8.898543 9.034559 8.851461 9.029327 5085102 7.263545
"2012-11-02" 9.113029 9.133955 8.856692 8.971782 15588872 7.217253
"2012-11-05" 8.903775 9.050253 8.872387 8.914237 5542345 7.17096
"2012-11-06" 8.992708 9.285664 8.977014 9.222888 7678309 7.41925
"2012-11-07" 9.123492 9.160111 8.814842 8.830536 5780141 7.103627
"2012-11-08" 8.84623 8.945626 8.647438 8.699752 5470088 6.998422
"2012-11-09" 8.647438 9.024096 8.553274 8.950857 6833596 7.200419
"2012-11-12" 8.956088 8.992708 8.736371 8.783453 3757149 7.065752
"2012-11-13" 8.788685 8.956088 8.73114 8.914237 6015071 7.17096
"2012-11-14" 8.919469 8.956088 8.699752 8.767759 7892594 7.053128
"2012-11-15" 8.767759 8.882849 8.710214 8.80961 6991681 7.086795
"2012-11-16" 8.783453 8.888081 8.636975 8.882849 5685520 7.145712
"2012-11-19" 8.971782 9.092104 8.898543 9.086872 5111290 7.309837
"2012-11-20" 9.07641 9.175805 9.029327 9.175805 4870626 7.381375
"2012-11-21" 9.181037 9.249044 9.128723 9.201962 3329536 7.402417
"2012-11-23" 9.23335 9.327515 9.144417 9.327515 1808134 7.503419
"2012-11-26" 9.285664 9.369366 9.196731 9.238582 4343804 7.431875
"2012-11-27" 9.212425 9.317052 9.160111 9.1915 4112506 7.394
"2012-11-28" 9.165343 9.317052 9.102566 9.306589 5007493 7.486586
"2012-11-29" 9.364134 9.521075 9.317052 9.505381 6992446 7.646499
"2012-11-30" 9.531538 9.536769 9.322284 9.364134 5071721 7.532876
"2012-12-03" 9.374597 9.473993 9.343209 9.437373 3953083 7.591792
"2012-12-04" 9.437373 9.468762 9.212425 9.228119 4974423 7.423461
"2012-12-05" 9.186268 9.458299 8.956088 9.411217 11206646 7.657572
"2012-12-06" 9.364134 9.437373 9.332746 9.353672 5064266 7.61075
"2012-12-07" 9.416448 9.447836 9.327515 9.364134 4724775 7.619262
"2012-12-10" 9.322284 9.426911 9.186268 9.337978 4876743 7.59798
"2012-12-11" 9.405985 9.442605 9.322284 9.400754 4232360 7.649059
"2012-12-12" 9.421679 9.604777 9.38506 9.458299 6744900 7.695882
"2012-12-13" 9.458299 9.489687 9.1915 9.254276 4726687 7.529873
"2012-12-14" 9.249044 9.285664 9.144417 9.207194 3030761 7.491566
"2012-12-17" 9.238582 9.453068 9.222888 9.442605 3125191 7.683112
"2012-12-18" 9.473993 9.882039 9.395523 9.761718 17187118 7.942763
"2012-12-19" 9.787875 9.84542 9.714636 9.77218 5069619 7.951275
"2012-12-20" 9.746024 9.944815 9.735561 9.92389 4495963 8.074714
"2012-12-21" 9.840188 9.861114 9.683247 9.704173 7449497 7.89594
"2012-12-24" 9.662322 9.704173 9.552463 9.610008 1394284 7.819321
"2012-12-26" 9.61524 9.625702 9.400754 9.50015 2533184 7.729932
"2012-12-27" 9.526307 9.542001 9.160111 9.369366 6016218 7.623518
"2012-12-28" 9.296127 9.327515 9.196731 9.212425 3494885 7.495822
"2012-12-31" 9.212425 9.426911 9.196731 9.421679 3992461 7.666086
"2013-01-02" 9.604777 9.740792 9.594314 9.672785 7629182 7.870399
"2013-01-03" 9.678016 9.714636 9.568157 9.667553 5657993 7.866144
"2013-01-04" 9.69371 9.871576 9.641396 9.84542 4971365 8.010864
"2013-01-07" 9.77218 9.92389 9.761718 9.829725 4718658 7.998096
"2013-01-08" 9.787875 9.824494 9.641396 9.787875 4547192 7.964045
"2013-01-09" 9.803569 9.939584 9.777412 9.819263 4699160 7.989585
"2013-01-10" 9.902964 9.970972 9.861114 9.934353 5867308 8.08323
"2013-01-11" 9.965741 9.965741 9.829725 9.908196 3677055 8.061944
"2013-01-14" 9.913427 10.028517 9.902964 10.007592 2947035 8.142822
"2013-01-15" 9.950047 10.185458 9.929121 10.148838 4119770 8.257748
"2013-01-16" 10.101756 10.201152 9.944815 10.03898 3105693 8.168363
"2013-01-17" 10.127913 10.34763 9.997129 10.295316 5585546 8.376931
"2013-01-18" 10.321473 10.38425 10.295316 10.379018 4554074 8.445038
"2013-01-22" 10.358093 10.525496 10.342399 10.483645 4122446 8.530168
"2013-01-23" 10.535959 10.651049 10.46272 10.619661 4741023 8.640841
"2013-01-24" 10.624892 10.781833 10.583041 10.624892 6483591 8.645098
"2013-01-25" 10.671974 10.671974 10.494108 10.54119 4547383 8.576992
"2013-01-28" 10.49934 10.54119 10.263928 10.515034 5015331 8.555706
"2013-01-29" 10.447026 10.447026 10.253466 10.368556 4260842 8.436524
"2013-01-30" 10.389481 10.410406 10.211615 10.237772 3733637 8.330109
"2013-01-31" 10.248234 10.305779 10.127913 10.26916 3757532 8.355649
