"Index" "VMOpen" "VMHigh" "VMLow" "VMClose" "VMVolume" "VMAdjusted"
"2012-10-16" 46.900002 47.810001 46.810001 47.779999 274300 44.886784
"2012-10-17" 48.18 49.880001 48 49.380001 821000 46.389908
"2012-10-18" 49.07 49.779999 48.509998 48.799999 433300 45.84502
"2012-10-19" 48.560001 48.73 46.110001 46.549999 816600 43.731262
"2012-10-22" 46.48 47.349998 46.310001 46.939999 337200 44.097664
"2012-10-23" 45.93 46.529999 45.349998 46.18 483400 43.383678
"2012-10-24" 46.529999 46.939999 46.02 46.360001 220600 43.552769
"2012-10-25" 46.880001 47.200001 46.32 46.889999 275600 44.050694
"2012-10-26" 46.779999 47.200001 45.98 46.490002 292700 43.6749
"2012-10-31" 47.16 47.939999 45.650002 45.970001 637000 43.186398
"2012-11-01" 45.27 47.48 44.610001 47.470001 627900 44.595558
"2012-11-02" 48 48.349998 46.34 46.349998 277300 43.543388
"2012-11-05" 46.049999 46.880001 45.779999 46.599998 399400 43.778244
"2012-11-06" 46.919998 48.75 46.919998 48.48 1366200 45.544418
"2012-11-07" 44.830002 47.810001 44.5 46.07 703000 43.280346
"2012-11-08" 45.009998 46.41 44.619999 46.009998 1115500 43.223969
"2012-11-09" 45.490002 46.939999 45.48 46.34 729400 43.533997
"2012-11-12" 46.240002 47.240002 45.810001 47.029999 538500 44.182198
"2012-11-13" 46.580002 47.939999 46.369999 47.400002 642100 44.529804
"2012-11-14" 47.509998 47.75 44.189999 47.139999 757100 44.285534
"2012-11-15" 47.009998 47.330002 46.07 46.450001 878000 43.637341
"2012-11-16" 45.93 46.900002 45.700001 46.549999 645900 43.731262
"2012-11-19" 47.32 48.599998 46.93 48.25 582600 45.328331
"2012-11-20" 48.110001 48.540001 47.810001 48.23 483500 45.309544
"2012-11-21" 48.419998 48.919998 47.810001 48.52 540500 45.591431
"2012-11-23" 48.82 49.240002 48.400002 49.240002 133100 46.267979
"2012-11-26" 48.779999 49.689999 48.73 49.5 568300 46.51228
"2012-11-27" 49.66 49.830002 48.450001 48.790001 455200 45.845135
"2012-11-28" 48.459999 49.889999 47.939999 49.689999 763900 46.690807
"2012-11-29" 49.970001 51.75 49.84 51.310001 1496100 48.213047
"2012-11-30" 51.5 53.099998 51.369999 52.84 1157300 49.650692
"2012-12-03" 53.400002 53.849998 52.259998 52.310001 938600 49.152687
"2012-12-04" 52.380001 53.380001 52.119999 52.759998 1350500 49.575516
"2012-12-05" 52.779999 53.02 51.02 51.119999 2516000 48.034496
"2012-12-06" 51.189999 52.060001 51 52.02 647300 48.88018
