"Index" "SWOpen" "SWHigh" "SWLow" "SWClose" "SWVolume" "SWAdjusted"
"2012-08-27" 67.699997 67.959999 67.120003 67.209999 629400 55.706635
"2012-08-28" 67.120003 67.370003 66.139999 66.230003 1466900 54.894356
"2012-08-29" 66.18 66.589996 65.650002 66.470001 911000 55.093292
"2012-08-30" 66 66.440002 65.519997 65.669998 1302500 54.430222
"2012-08-31" 66.220001 66.419998 65.230003 65.779999 998700 54.521397
"2012-09-04" 65.720001 66.150002 65.010002 65.940002 934200 54.653999
"2012-09-05" 65.580002 66.410004 65.389999 66.059998 1164500 55.16338
"2012-09-06" 68.349998 71.639999 68.290001 71.379997 2952500 59.605843
"2012-09-07" 70.809998 72.370003 70.809998 71.879997 1788900 60.02338
"2012-09-10" 71.75 72.349998 71.720001 71.75 924200 59.914803
"2012-09-11" 71.900002 72.5 71.57 72.18 1198600 60.273888
"2012-09-12" 72.57 74.900002 72.57 72.889999 2104600 60.866753
"2012-09-13" 72.449997 73.879997 71.540001 73.529999 1989800 61.401188
"2012-09-14" 73.650002 76.989998 73.559998 76.699997 2466300 64.048264
"2012-09-17" 76.300003 76.300003 74.959999 75.459999 1306400 63.012856
"2012-09-18" 75.510002 75.800003 74.919998 75.68 1095200 63.196533
"2012-09-19" 75.769997 76.709999 75.120003 76.489998 1553000 63.872963
"2012-09-20" 75.879997 76.580002 74.760002 76.330002 1672100 63.739342
"2012-09-21" 76.769997 78.470001 76.620003 78.25 2763200 65.342659
"2012-09-24" 78.080002 78.080002 76.449997 77.739998 1664900 64.916763
"2012-09-25" 77.779999 77.779999 75.75 75.860001 2164400 63.346863
"2012-09-26" 76 76.239998 74.620003 74.879997 1804900 62.528542
"2012-09-27" 75.230003 76.529999 74.260002 76.050003 1603400 63.505531
"2012-09-28" 75.510002 76.419998 74.879997 76.25 1250600 63.672543
"2012-10-01" 76.5 77.449997 75.790001 76.080002 1515200 63.530602
"2012-10-02" 75.93 76.620003 75.110001 76.489998 1330200 63.872963
"2012-10-03" 76.540001 76.540001 74.540001 74.690002 1985300 62.369858
"2012-10-04" 75 75.400002 74.550003 74.720001 1491300 62.394894
"2012-10-05" 75.330002 75.5 74.639999 75.029999 1408700 62.65377
"2012-10-08" 74.489998 74.730003 73.739998 74.230003 1083400 61.985741
"2012-10-09" 74.470001 75.57 72.18 72.239998 1730100 60.323982
"2012-10-10" 72.529999 72.779999 71.279999 71.900002 1285900 60.04007
"2012-10-11" 72.699997 72.949997 71.639999 71.730003 896200 59.898102
"2012-10-12" 71.75 71.940002 69.629997 70.059998 1826300 58.503571
"2012-10-15" 70.379997 71.43 69.43 71.360001 1481600 59.589127
"2012-10-16" 71.690002 72.760002 70.860001 72.32 2699600 60.390774
"2012-10-17" 68.07 70.830002 67.57 69.120003 5382800 57.718628
"2012-10-18" 68.580002 70.669998 68.209999 70.190002 2497800 58.612144
"2012-10-19" 69.870003 70.669998 69.209999 70.269997 2258600 58.678936
"2012-10-22" 69.980003 70.5 68.720001 69.25 1153400 57.827187
"2012-10-23" 68.309998 70.050003 68.059998 69.889999 1533100 58.361637
"2012-10-24" 70.25 70.690002 68.830002 69.059998 1573000 57.66853
"2012-10-25" 69.970001 70.18 67.900002 68.349998 1907000 57.07563
"2012-10-26" 68.059998 68.519997 67.029999 67.540001 1282500 56.399246
"2012-10-31" 68.099998 69.410004 68.099998 69.300003 1102500 57.868942
"2012-11-01" 69.559998 70.419998 69.209999 70.129997 1562900 58.562031
"2012-11-02" 70.540001 70.620003 69.809998 69.870003 1083200 58.34491
"2012-11-05" 69.669998 70.580002 69.379997 70.440002 802800 58.820908
"2012-11-06" 70.510002 71.82 70.360001 71.599998 1365200 59.789551
"2012-11-07" 70.900002 70.910004 68.800003 69.370003 1604400 57.927395
"2012-11-08" 69.550003 70.470001 68.620003 68.720001 1400300 57.384609
"2012-11-09" 68.290001 69.540001 67.720001 68.730003 1880000 57.392963
"2012-11-12" 68.940002 69.330002 68.190002 68.669998 1035100 57.342861
"2012-11-13" 68.139999 69.889999 68.139999 69.360001 1313700 57.919037
"2012-11-14" 69.540001 69.650002 67.059998 67.209999 2072100 56.123695
"2012-11-15" 67.220001 67.730003 66.18 66.769997 1262700 55.756256
"2012-11-16" 66.809998 67.82 66.790001 67.410004 1413400 56.290695
"2012-11-19" 68.43 69.860001 68.150002 69.860001 1384500 58.336563
"2012-11-20" 69.910004 70.309998 69.449997 70.059998 1073000 58.503571
"2012-11-21" 70.029999 70.419998 69.889999 70.029999 547800 58.478508
"2012-11-23" 70.150002 71.400002 70.150002 71.389999 295100 59.614193
"2012-11-26" 71.07 71.470001 70.669998 71.419998 1214900 59.639229
"2012-11-27" 71.449997 71.550003 70.230003 70.360001 1044400 58.754093
"2012-11-28" 70.169998 72.800003 70.120003 72.470001 1916400 60.516033
"2012-11-29" 72.919998 73.870003 72.82 73.300003 1433800 61.209141
"2012-11-30" 72.190002 72.699997 71.75 71.910004 931200 60.04845
"2012-12-03" 72.25 72.660004 70.760002 70.779999 913900 59.104809
"2012-12-04" 70.769997 70.900002 69.699997 70.010002 1731700 58.461845
"2012-12-05" 69.949997 70.900002 68.870003 70.68 1183800 59.437309
"2012-12-06" 70.629997 71.089996 70.129997 71.050003 944400 59.748463
"2012-12-07" 71.32 71.610001 70.82 71.190002 881000 59.866184
"2012-12-10" 71.160004 72.010002 70.919998 71.839996 1028200 60.412781
"2012-12-11" 72.339996 72.650002 71.75 72.309998 1348800 60.808029
"2012-12-12" 72.650002 73.870003 72.349998 72.989998 1314100 61.379887
"2012-12-13" 73.010002 73.07 71.779999 71.989998 1465300 60.538921
"2012-12-14" 72 72.220001 71.199997 71.309998 1246200 59.967094
"2012-12-17" 71.650002 72.32 71.389999 72.150002 1347200 60.673473
"2012-12-18" 72.43 75.089996 72.349998 74.510002 2285000 62.658085
"2012-12-19" 74.459999 74.620003 73.910004 73.949997 1340100 62.187157
"2012-12-20" 73.900002 74.419998 73.459999 74.400002 762100 62.565586
"2012-12-21" 73.540001 74.059998 72.949997 73.440002 1420600 61.758308
"2012-12-24" 74.989998 74.989998 73.099998 73.43 300400 61.749874
"2012-12-26" 73.580002 73.639999 72.5 72.760002 526400 61.18647
"2012-12-27" 72.889999 73.050003 72.010002 72.669998 963500 61.110764
"2012-12-28" 72.099998 72.959999 72.010002 72.059998 732100 60.597805
"2012-12-31" 72.010002 74.029999 71.779999 73.970001 977400 62.20401
"2013-01-02" 75.230003 75.959999 74.470001 75.440002 1523500 63.440159
"2013-01-03" 75.459999 75.459999 73.879997 74.050003 1853400 62.271255
"2013-01-04" 74.300003 75.300003 73.980003 74.760002 1216600 62.868324
"2013-01-07" 74.169998 75.410004 74.169998 75.089996 1630800 63.145832
"2013-01-08" 74.57 75.419998 74.529999 75.419998 1449200 63.423344
"2013-01-09" 75.709999 75.709999 74.510002 75.110001 1150300 63.162663
"2013-01-10" 75.389999 75.830002 74.959999 75.830002 1134600 63.768127
"2013-01-11" 75.75 75.800003 74.860001 75.209999 1552600 63.24675
"2013-01-14" 75.220001 75.550003 74.980003 75.290001 954800 63.314034
"2013-01-15" 76.379997 76.889999 75.410004 76.139999 1111200 64.028824
"2013-01-16" 75.75 76.209999 75.559998 76.050003 869800 63.953133
"2013-01-17" 76.379997 77.75 76.32 77.279999 1727200 64.987503
"2013-01-18" 77.5 77.690002 76.529999 76.949997 1348800 64.709976
"2013-01-22" 76.870003 77.959999 76.510002 77.889999 2148700 65.500465
"2013-01-23" 77.699997 78.389999 76.720001 77.959999 2373800 65.559334
"2013-01-24" 77.93 78.080002 75.599998 77.220001 3066500 64.937019
"2013-01-25" 77.300003 77.400002 75.949997 76.870003 2071100 64.6427
"2013-01-28" 76.82 76.870003 76.029999 76.580002 2029300 64.398827
"2013-01-29" 75.93 77.110001 75.830002 76.860001 1789400 64.634293
"2013-01-30" 76.910004 77.989998 76.849998 77.050003 1783200 64.79406
"2013-01-31" 76.809998 77.589996 76.669998 76.830002 1400500 64.609077
"2013-02-01" 77.480003 77.839996 77.040001 77.370003 1059200 65.063171
"2013-02-04" 76.559998 76.870003 76.089996 76.239998 1163500 64.112907
"2013-02-05" 76.650002 77.760002 76.610001 77.470001 1329700 65.147285
"2013-02-06" 77.120003 77.660004 77.080002 77.309998 1709600 65.012711
"2013-02-07" 77.5 77.5 76.18 76.300003 1128100 64.163338
"2013-02-08" 76.360001 76.739998 76.129997 76.239998 861800 64.112907
"2013-02-11" 76.129997 76.239998 75.800003 75.93 979100 63.852219
"2013-02-12" 76.129997 77.870003 75.959999 77.489998 1825700 65.164085
"2013-02-13" 77.559998 77.639999 77.050003 77.480003 1083500 65.155685
"2013-02-14" 77.169998 78.230003 76.940002 77.809998 1459900 65.433182
"2013-02-15" 77.910004 79.059998 77.650002 78.459999 1336100 65.979782
"2013-02-19" 78.639999 79.5 78.639999 79.169998 1791300 66.576843
"2013-02-20" 79.050003 79.120003 77.550003 77.629997 1477100 65.281815
"2013-02-21" 76.919998 77.459999 75.730003 76.080002 1623800 63.978382
"2013-02-22" 76.459999 77.669998 76.339996 77.440002 1085500 65.122032
"2013-02-25" 77.93 77.93 75.139999 75.139999 1387500 63.187893
"2013-02-26" 75.809998 76.489998 75.080002 76.260002 2016200 64.129715
"2013-02-27" 76.18 78.339996 76.18 77.919998 1429000 65.525703
"2013-02-28" 78.029999 79.040001 77.800003 78.699997 1484400 66.181602
"2013-03-01" 78.190002 78.230003 77.199997 77.589996 1548300 65.248161
"2013-03-04" 77.510002 77.510002 76.120003 77.389999 1171600 65.080002
"2013-03-05" 77.849998 78.75 77.599998 78.339996 1190700 65.878868
"2013-03-06" 78.5 79.330002 78.150002 78.519997 2683300 66.030235
"2013-03-07" 78.190002 78.830002 77.959999 78.120003 804600 66.106407
"2013-03-08" 78.709999 79.519997 78.080002 78.959999 1300300 66.817207
"2013-03-11" 78.830002 79.949997 78.650002 79.699997 1044300 67.443428
"2013-03-12" 79.75 79.900002 79.330002 79.779999 1032300 67.511101
"2013-03-13" 79.879997 80.629997 79.470001 80.169998 1443300 67.841156
"2013-03-14" 80.379997 81.220001 80.360001 81.089996 1260000 68.619637
"2013-03-15" 80.620003 81.199997 80.050003 81.169998 1772400 68.687347
"2013-03-18" 80.230003 81.230003 79.660004 80.550003 3004700 68.16272
"2013-03-19" 80.900002 81.419998 80.550003 81.290001 1469600 68.788918
"2013-03-20" 81.760002 81.980003 81.220001 81.610001 1289200 69.059685
"2013-03-21" 81.099998 81.82 80.93 81.18 895900 68.695808
"2013-03-22" 81.360001 81.75 80.849998 81.57 740500 69.025833
"2013-03-25" 81.870003 82.43 80.879997 81.480003 1376900 68.949684
"2013-03-26" 81.830002 82.110001 81.160004 81.190002 827000 68.704285
"2013-03-27" 80.699997 80.699997 79.709999 79.739998 1842400 67.477295
"2013-03-28" 79.760002 81.050003 79.300003 80.970001 5139600 68.518127
"2013-04-01" 80.769997 81.160004 79.739998 79.830002 1489400 67.553421
"2013-04-02" 80.32 80.82 79.330002 79.580002 1062100 67.341881
"2013-04-03" 79.440002 79.860001 78.660004 79.099998 1530900 66.935699
"2013-04-04" 79.099998 79.510002 78.07 78.389999 1853900 66.334885
"2013-04-05" 77.379997 77.779999 76.230003 77.559998 1857500 65.63253
"2013-04-08" 77.610001 77.940002 76.739998 77.900002 1820100 65.920227
"2013-04-09" 78.080002 78.639999 77.370003 77.800003 1838300 65.835609
"2013-04-10" 78 79.269997 77.959999 79.18 1559200 67.003387
"2013-04-11" 79.169998 80.139999 78.959999 79.75 1127000 67.485741
"2013-04-12" 79.440002 79.870003 78.779999 79.239998 704400 67.054169
"2013-04-15" 78.709999 78.779999 76.260002 76.260002 1422800 64.532433
"2013-04-16" 77.199997 77.269997 76.32 77.089996 1372900 65.234802
