"Index" "TWOpen" "TWHigh" "TWLow" "TWClose" "TWVolume" "TWAdjusted"
"2013-02-05" 48.481884 48.616104 47.83955 47.897072 7771216 43.255089
"2013-02-06" 48.903717 50.54311 48.606518 49.862427 13775811 45.029968
"2013-02-07" 49.852837 50.217148 49.248852 50.197971 7944407 45.332996
"2013-02-08" 50.006229 50.66774 50.006229 50.399303 6439690 45.514812
"2013-02-11" 50.121277 50.14045 49.680271 49.97747 5476297 45.133869
"2013-02-12" 49.881599 50.514347 49.881599 50.332191 6093456 45.45422
"2013-02-13" 50.437649 51.434708 50.1021 50.66774 9934252 45.757233
"2013-02-14" 50.466412 51.664799 50.370541 51.415531 8844326 46.432556
"2013-02-15" 51.501816 51.655209 51.089573 51.310074 9254707 46.337318
"2013-02-19" 51.396358 51.674385 51.238171 51.568928 5100853 46.571087
"2013-02-20" 51.310074 51.650417 50.936176 51.032047 4356872 46.086239
"2013-02-21" 50.782784 50.888245 50.169212 50.437649 6286027 45.549446
"2013-02-22" 50.495171 50.811546 50.351364 50.80196 4580008 45.878452
"2013-02-25" 50.811546 51.147095 49.488529 49.507702 6710092 44.709625
"2013-02-26" 49.555637 50.207561 49.555637 50.121277 5496980 45.528126
"2013-02-27" 50.159622 51.214203 49.891186 51.108746 6488419 46.425095
"2013-02-28" 51.156681 51.41074 50.945766 50.974525 4203236 46.303181
"2013-03-01" 50.849895 51.765461 50.485584 51.405945 7072734 46.695065
"2013-03-04" 51.166267 51.923649 50.936176 51.923649 6233470 47.165314
"2013-03-05" 52.14415 53.256252 52.096214 52.776897 7120490 47.94038
"2013-03-06" 53.026161 53.75478 52.728962 53.169968 8631532 48.297428
"2013-03-07" 54.406704 54.54092 53.400059 54.435463 14976107 49.446953
"2013-03-08" 54.377941 55.461281 54.330006 55.087387 10716798 50.039139
"2013-03-11" 55.068211 55.096973 54.435463 54.895645 8867254 49.864971
"2013-03-12" 54.790188 54.84771 54.032806 54.090328 9746034 49.133446
"2013-03-13" 54.119091 54.435463 53.936935 54.291656 5820450 49.316326
"2013-03-14" 54.569683 54.986721 54.492989 54.953167 5439539 49.917213
"2013-03-15" 54.598446 54.655968 53.869827 54.310833 14496716 49.333748
"2013-03-18" 53.764366 54.261936 53.563038 53.898586 4694232 48.959282
"2013-03-19" 54.032806 54.090328 52.891945 53.189144 7485957 48.314846
"2013-03-20" 53.639736 54.15744 53.601387 54.032806 5463704 49.081192
"2013-03-21" 53.764366 54.02322 53.515102 53.793129 3593933 48.863491
"2013-03-22" 54.109505 54.703903 53.764366 54.445049 4437615 49.455669
"2013-03-25" 54.588856 55.039452 53.726021 54.205376 5355820 49.237953
"2013-03-26" 54.473812 54.866882 54.119091 54.560097 7133626 49.560165
"2013-03-27" 54.109505 54.406704 53.639736 54.291656 4828962 49.316326
"2013-03-28" 54.377941 55.622345 54.377941 55.24078 10901908 50.178482
"2013-04-01" 55.269539 55.394173 54.804565 55.24078 5719401 50.178482
"2013-04-02" 55.413345 55.691372 54.962753 55.202431 5126126 50.143639
