"Index" "EQOpen" "EQHigh" "EQLow" "EQClose" "EQVolume" "EQAdjusted"
"2013-01-22" 32.400654 32.994011 32.166576 32.896027 3266737 32.063541
"2013-01-23" 32.803486 32.803486 32.128471 32.45509 2967490 31.633764
"2013-01-24" 32.732716 33.984756 32.553078 33.075668 4178257 32.238647
"2013-01-25" 33.298859 33.848667 33.168209 33.723461 2600274 32.870045
"2013-01-28" 33.581928 33.625477 32.738159 32.765377 3029764 31.936203
"2013-01-29" 32.770821 32.988567 32.373436 32.879696 3785322 32.04763
"2013-01-30" 32.955906 33.380512 32.819817 33.021229 3171764 32.185574
"2013-01-31" 32.912357 32.983124 32.270004 32.340775 3698983 31.522346
"2013-02-01" 32.563965 32.563965 32.057701 32.416985 5089592 31.596619
"2013-02-04" 32.253674 32.623844 32.068588 32.580296 4376836 31.755796
"2013-02-05" 32.721828 33.777901 32.689167 33.685356 3712944 32.832905
"2013-02-06" 33.467609 33.832336 33.309746 33.821449 2995596 32.965557
"2013-02-07" 33.750679 33.968426 33.516602 33.636364 2647852 32.785149
"2013-02-08" 33.745235 33.761566 33.391399 33.658138 2378731 32.806358
"2013-02-11" 33.620033 33.620033 33.091999 33.40773 1200480 32.562302
"2013-02-12" 33.467609 33.532932 32.999454 33.03212 2012801 32.196178
"2013-02-13" 33.05389 33.277081 32.906914 33.04845 1690591 32.228054
"2013-02-14" 32.994011 33.266193 32.868809 32.934132 2504933 32.116562
"2013-02-15" 32.917801 32.928688 32.139359 32.318996 2059828 31.516706
"2013-02-19" 32.433315 33.05389 32.433315 33.05389 1675528 32.233349
"2013-02-20" 33.12466 33.12466 32.221012 32.270004 1683427 31.468922
"2013-02-21" 32.264561 32.416985 31.747414 32.210125 1675160 31.410532
"2013-02-22" 32.373436 32.972237 32.253674 32.966793 2076729 32.148415
"2013-02-25" 33.135548 33.358738 32.046814 32.046814 2333909 31.251272
"2013-02-26" 32.188351 32.514969 31.497005 32.493195 2566656 31.686571
"2013-02-27" 32.406097 33.641808 32.37888 33.53838 3029764 32.705818
"2013-02-28" 33.494827 34.507347 33.347851 34.34404 3289332 33.491478
"2013-03-01" 34.093632 34.812195 33.957539 34.795864 3649384 33.932091
"2013-03-04" 34.71965 34.893848 33.777901 34.12085 4327054 33.27383
"2013-03-05" 34.360371 34.616222 34.311378 34.349483 2942874 33.49678
"2013-03-06" 34.512794 34.714207 34.262383 34.485573 2513567 33.62949
"2013-03-07" 34.545456 36.020687 34.447468 35.770279 3869089 34.882309
"2013-03-08" 35.830158 35.846489 35.133369 35.525314 2537264 34.643417
"2013-03-11" 35.465431 35.57975 34.980946 35.459988 5779937 34.579708
"2013-03-12" 35.519871 35.645073 35.193249 35.606968 1928850 34.723049
"2013-03-13" 35.596081 35.873707 35.378334 35.574306 3111327 34.6912
"2013-03-14" 35.628742 36.973328 35.585194 36.918888 4239980 36.002399
"2013-03-15" 36.750137 37.196514 36.064236 36.3092 4263310 35.407856
"2013-03-18" 35.884594 36.521503 35.868263 36.194881 1891743 35.296364
"2013-03-19" 36.303757 36.630375 35.792053 36.521503 3774117 35.614887
"2013-03-20" 36.733807 36.799129 36.129559 36.581383 1998472 35.673283
"2013-03-21" 36.401741 36.761024 36.140446 36.3092 1973857 35.407856
"2013-03-22" 36.483398 36.635818 36.303757 36.412628 2114571 35.508713
"2013-03-25" 36.472511 37.256397 36.428959 36.532391 2331888 35.625507
"2013-03-26" 36.684811 37.142078 36.483398 37.114861 1815323 36.193504
"2013-03-27" 36.87534 37.207401 36.494286 37.082199 1892845 36.161663
"2013-03-28" 37.082199 37.240067 36.826347 36.880783 2043846 35.96524
"2013-04-01" 36.984215 37.163853 36.205769 36.848122 1538488 35.933384
"2013-04-02" 36.973328 37.131191 36.44529 36.619488 1807057 35.710423
"2013-04-03" 36.543278 36.581383 35.35656 35.563419 2819060 34.680595
"2013-04-04" 35.759392 36.0098 35.465431 35.748505 1818079 34.86108
"2013-04-05" 35.378334 36.918888 35.378334 36.712029 2666773 35.800682
"2013-04-08" 36.624931 37.708221 36.407185 37.702778 3725620 36.766838
"2013-04-09" 37.686443 38.143715 37.234623 37.778988 2827327 36.841156
"2013-04-10" 37.953186 38.12738 37.681004 38.067501 3026458 37.122501
"2013-04-11" 38.154598 38.361458 37.784431 37.849754 1565491 36.910156
"2013-04-12" 37.566685 37.675556 36.869896 37.512249 2255652 36.581036
"2013-04-15" 37.332607 37.387043 35.688622 35.704952 3768973 34.818588
"2013-04-16" 36.145889 36.472511 35.792053 36.379967 2269430 35.476864
"2013-04-17" 36.140446 36.265652 35.22591 35.971691 3381182 35.07872
"2013-04-18" 36.107784 36.880783 35.699509 36.44529 3002760 35.540558
"2013-04-19" 36.554165 36.597713 36.107784 36.287426 3534204 35.386604
"2013-04-22" 36.379967 36.537834 35.890038 36.38541 2061298 35.48217
"2013-04-23" 36.526947 36.924332 36.211212 36.902557 3105449 35.986481
"2013-04-24" 37.087643 37.729996 36.918888 37.332607 3383387 36.405849
"2013-04-25" 38.786064 41.148613 38.786064 40.261295 7153278 39.261837
"2013-04-26" 40.255852 40.555252 39.989113 40.201416 2763215 39.203442
"2013-04-29" 40.50626 41.867176 40.50626 41.23571 3015068 40.212067
"2013-04-30" 41.203049 41.290146 40.636909 40.892761 3016538 39.877621
"2013-05-01" 40.71312 41.38269 40.348392 41.279259 3851271 40.254528
"2013-05-02" 41.371803 41.589546 40.07621 40.500816 3579027 39.495411
"2013-05-03" 41.399021 41.698421 40.680458 40.898205 3726722 39.882931
"2013-05-06" 40.832878 41.649429 40.827435 41.181274 2371934 40.158985
"2013-05-07" 41.333694 41.616768 40.80566 41.246597 3561025 40.222683
"2013-05-08" 41.257484 41.360916 40.740337 41.045181 4212241 40.026257
"2013-05-09" 41.246597 41.556885 40.794773 41.469788 2789485 40.440334
"2013-05-10" 41.213936 41.317364 40.772999 41.268372 1731924 40.243916
"2013-05-13" 41.181274 41.431683 40.587914 40.772999 1944648 39.760834
"2013-05-14" 40.914536 41.692978 40.78933 41.660316 1864739 40.626129
"2013-05-15" 41.437126 42.672836 41.306477 42.112141 2817223 41.08284
"2013-05-16" 41.899837 42.39521 41.507893 41.676647 2470765 40.657993
"2013-05-17" 41.714752 43.081112 41.714752 43.026672 2680367 41.975021
"2013-05-20" 43.119217 44.403919 43.10833 44.327709 4380143 43.244255
"2013-05-21" 44.273273 44.708763 43.973869 44.093632 3884888 43.015911
"2013-05-22" 43.962982 44.409363 43.140991 43.494827 3153394 42.431725
"2013-05-23" 43.168209 43.788788 42.563965 43.473053 2064421 42.410492
"2013-05-24" 43.211758 43.973869 42.945019 43.864998 2099691 42.792866
"2013-05-28" 44.387589 44.757755 43.826893 44.001087 1839021 42.925606
"2013-05-29" 43.745235 44.158955 43.647251 43.870441 1795300 42.798164
"2013-05-30" 43.919434 44.534569 43.679913 44.311378 1981756 43.228321
"2013-05-31" 44.556343 45.362003 43.478497 43.48394 4333667 42.421112
"2013-06-03" 43.543819 44.235165 43.168209 43.424061 2479766 42.362698
"2013-06-04" 43.347851 43.78334 42.651062 43.097443 1920032 42.044064
"2013-06-05" 42.966793 43.200871 42.155689 42.188351 2791873 41.157192
"2013-06-06" 42.389767 43.168209 41.878063 42.661949 3543389 41.619209
"2013-06-07" 42.896027 44.322266 42.770821 44.322266 2213585 43.238949
"2013-06-10" 44.915623 44.980946 44.093632 44.540012 1920767 43.451374
"2013-06-11" 44.033752 44.169842 43.473053 43.76701 1622255 42.697269
"2013-06-12" 44.158955 44.158955 42.966793 42.994011 1935647 41.943157
