"Index" "SNOpen" "SNHigh" "SNLow" "SNClose" "SNVolume" "SNAdjusted"
"2012-11-16" 58.959999 59.599998 58.700001 59.049999 878931 55.038834
"2012-11-19" 59.580002 60.330002 59.369999 60.150002 706425 56.064117
"2012-11-20" 60.150002 60.494999 59.779999 59.93 584011 55.859062
"2012-11-21" 60.040001 60.189999 59.220001 59.59 419590 55.542149
"2012-11-23" 59.900002 60.400002 59.860001 60.400002 254653 56.297123
"2012-11-26" 60.27 60.610001 59.470001 59.77 425178 55.709919
"2012-11-27" 59.75 60.360001 59.23 59.66 677419 55.607395
"2012-11-28" 59.470001 59.790001 58.759998 59.720001 523594 55.775513
"2012-11-29" 59.73 59.889999 59.009998 59.220001 811356 55.308533
"2012-11-30" 59.349998 59.759998 58.759998 59.040001 1006523 55.140423
"2012-12-03" 59.459999 59.48 58.549999 59.040001 700631 55.140423
"2012-12-04" 59.02 59.330002 58.619999 59.220001 1136630 55.308533
"2012-12-05" 59.349998 59.349998 57.59 57.700001 979846 53.888931
"2012-12-06" 57 57 55.880001 56.5 2722886 52.768188
"2012-12-07" 56.389999 57.200001 55.950001 56.830002 1069660 53.076401
"2012-12-10" 56.709999 57.950001 56.5 57.779999 1260807 53.963638
"2012-12-11" 57.98 59.189999 57.98 58.990002 1204807 55.093742
"2012-12-12" 59.099998 59.349998 58.189999 58.310001 951335 54.458645
"2012-12-13" 58.310001 58.860001 57.709999 57.84 680470 54.019688
"2012-12-14" 57.77 58.380001 57.619999 58.040001 653043 54.206474
"2012-12-17" 58.07 58.744999 58.040001 58.549999 907747 54.682785
"2012-12-18" 58.529999 59.57 58.529999 59.200001 698495 55.289856
"2012-12-19" 59.330002 59.389999 58.919998 58.970001 1285765 55.07505
"2012-12-20" 58.869999 59.360001 58.650002 58.860001 1029646 54.972309
"2012-12-21" 58.07 58.529999 57.540001 57.740002 1204394 53.926292
"2012-12-24" 57.790001 58.391102 56.919998 57.52 315508 53.720821
"2012-12-26" 57.599998 57.900002 56.18 56.59 504781 52.852245
"2012-12-27" 56.669998 57.279999 55.875198 57.009998 618665 53.244499
"2012-12-28" 56.740002 57.080002 56.580002 56.619999 314342 52.88026
"2012-12-31" 56.419998 57.93 56.410702 57.919998 455210 54.094398
"2013-01-02" 58.830002 59.41 58.82 59.41 781213 55.485981
"2013-01-03" 59.360001 60.290001 59.049999 59.869999 865082 55.915596
"2013-01-04" 59.669998 59.889999 58.279999 58.310001 1378417 54.458645
"2013-01-07" 58.099998 58.459999 57.52 57.779999 576101 53.963638
