"Index" "MMOpen" "MMHigh" "MMLow" "MMClose" "MMVolume" "MMAdjusted"
"2013-06-11" 109.900002 111.080002 109.510002 110.220001 1752100 86.950287
"2013-06-12" 110.989998 111.059998 108.949997 109.029999 2400700 86.011543
"2013-06-13" 108.949997 111.440002 108.580002 111.199997 2604200 87.723404
"2013-06-14" 111.300003 112.07 110.75 111.029999 2016800 87.589287
"2013-06-17" 111.849998 112.870003 111.639999 111.910004 2617800 88.283501
"2013-06-18" 112.07 113.230003 111.900002 112.970001 1695300 89.119698
"2013-06-19" 112.959999 113.25 111.529999 111.57 1971700 88.015251
"2013-06-20" 110.709999 110.760002 108.519997 108.779999 2975600 85.814293
"2013-06-21" 109.5 110.059998 108.739998 109.589996 4674400 86.453293
"2013-06-24" 108.779999 108.779999 107.150002 107.5 3602500 84.804543
"2013-06-25" 108.199997 108.75 107.540001 108.239998 2676700 85.388298
"2013-06-26" 109.07 109.980003 108.730003 109.68 2524400 86.5243
"2013-06-27" 110.540001 110.900002 109.970001 110.239998 2229600 86.966072
"2013-06-28" 109.860001 110.470001 109.139999 109.349998 3428500 86.263962
"2013-07-01" 108.370003 110.360001 108.360001 109.309998 2668800 86.232399
"2013-07-02" 109.050003 109.75 108.330002 108.730003 3008800 85.774872
"2013-07-03" 108.279999 109.900002 108.209999 109.449997 1358800 86.342873
"2013-07-05" 110.370003 111.559998 109.870003 111.540001 2064500 87.9916
"2013-07-08" 112 112.779999 111.900002 112.129997 2571600 88.457039
"2013-07-09" 113.089996 113.519997 112.790001 113.349998 2196200 89.419487
"2013-07-10" 113.379997 113.879997 112.910004 113.43 2307500 89.482605
"2013-07-11" 114.360001 114.75 114.169998 114.529999 2387500 90.350349
"2013-07-12" 114.57 115.239998 114.269997 115.139999 2291700 90.831589
"2013-07-15" 115.139999 115.489998 114.75 114.849998 2064400 90.602814
"2013-07-16" 114.989998 115.440002 114.059998 114.339996 2458400 90.200493
"2013-07-17" 114.970001 115.269997 114.309998 114.639999 2096600 90.437141
"2013-07-18" 114.610001 115.75 114.57 115.480003 2945800 91.09977
"2013-07-19" 115.339996 116.470001 115.339996 116.190002 3093900 91.659912
"2013-07-22" 116 116.82 115.660004 116.279999 2823500 91.730904
